"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.47249429
1766.00000000,1.00000000,0.69873970
1766.00000000,2.00000000,0.69409919
1766.00000000,-1.00000000,0.49963751
1767.00000000,0.00000000,0.88927901
1767.00000000,1.00000000,1.35573534
1767.00000000,2.00000000,1.36143541
1767.00000000,-1.00000000,0.99309588
1768.00000000,0.00000000,1.24542613
1768.00000000,1.00000000,1.99089523
1768.00000000,2.00000000,2.00466722
1768.00000000,-1.00000000,1.48292685
1769.00000000,0.00000000,1.53721664
1769.00000000,1.00000000,2.62605512
1769.00000000,2.00000000,2.62252288
1769.00000000,-1.00000000,1.96832157
1770.00000000,0.00000000,1.76465053
1770.00000000,1.00000000,3.23941810
1770.00000000,2.00000000,3.20568636
1770.00000000,-1.00000000,2.44166715
1771.00000000,0.00000000,1.92772781
1771.00000000,1.00000000,3.81370102
1771.00000000,2.00000000,3.73369245
1771.00000000,-1.00000000,2.76109600
1772.00000000,0.00000000,2.02644846
1772.00000000,1.00000000,4.32359641
1772.00000000,2.00000000,4.20581264
1772.00000000,-1.00000000,3.06497867
1773.00000000,0.00000000,2.17751077
1773.00000000,1.00000000,4.87086183
1773.00000000,2.00000000,4.62918068
1773.00000000,-1.00000000,3.41003318
1774.00000000,0.00000000,2.44433756
1774.00000000,1.00000000,5.38973359
1774.00000000,2.00000000,5.01109325
1774.00000000,-1.00000000,3.86081501
1775.00000000,0.00000000,2.68948974
1775.00000000,1.00000000,5.91185577
1775.00000000,2.00000000,5.35301301
1775.00000000,-1.00000000,4.25189899
1776.00000000,0.00000000,2.91601917
1776.00000000,1.00000000,6.44586698
1776.00000000,2.00000000,5.70019687
1776.00000000,-1.00000000,4.70280063
1777.00000000,0.00000000,3.14684088
1777.00000000,1.00000000,6.99176722
1777.00000000,2.00000000,6.07405622
1777.00000000,-1.00000000,5.16553293
1778.00000000,0.00000000,3.36072149
1778.00000000,1.00000000,7.54847604
1778.00000000,2.00000000,6.47459106
