"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.48165269
1766.00000000,1.00000000,0.65991200
1766.00000000,2.00000000,0.65624617
1766.00000000,-1.00000000,0.49975929
1767.00000000,0.00000000,0.92946999
1767.00000000,1.00000000,1.30759958
1767.00000000,2.00000000,1.29243304
1767.00000000,-1.00000000,0.99826807
1768.00000000,0.00000000,1.34799168
1768.00000000,1.00000000,1.94418933
1768.00000000,2.00000000,1.90885201
1768.00000000,-1.00000000,1.49470771
1769.00000000,0.00000000,1.74172772
1769.00000000,1.00000000,2.57099170
1769.00000000,2.00000000,2.50624796
1769.00000000,-1.00000000,1.98859313
1770.00000000,0.00000000,2.11495120
1770.00000000,1.00000000,3.18915358
1770.00000000,2.00000000,3.08537418
1770.00000000,-1.00000000,2.47965760
1771.00000000,0.00000000,2.38087808
1771.00000000,1.00000000,3.78521962
1771.00000000,2.00000000,3.62983581
1771.00000000,-1.00000000,2.89496503
1772.00000000,0.00000000,2.60797504
1772.00000000,1.00000000,4.33005614
1772.00000000,2.00000000,4.10608581
1772.00000000,-1.00000000,3.26989929
1773.00000000,0.00000000,2.87954568
1773.00000000,1.00000000,4.85532811
1773.00000000,2.00000000,4.55427061
1773.00000000,-1.00000000,3.67599255
1774.00000000,0.00000000,3.17008271
1774.00000000,1.00000000,5.37957965
1774.00000000,2.00000000,4.99657588
1774.00000000,-1.00000000,4.10016481
1775.00000000,0.00000000,3.46855872
1775.00000000,1.00000000,5.90798631
1775.00000000,2.00000000,5.43835815
1775.00000000,-1.00000000,4.53534961
1776.00000000,0.00000000,3.76995518
1776.00000000,1.00000000,6.44123423
1776.00000000,2.00000000,5.87967647
1776.00000000,-1.00000000,4.97741824
1777.00000000,0.00000000,4.07197954
1777.00000000,1.00000000,6.97863390
1777.00000000,2.00000000,6.31921182
1777.00000000,-1.00000000,5.42381374
1778.00000000,0.00000000,4.37363030
1778.00000000,1.00000000,7.51919626
1778.00000000,2.00000000,6.75553956
