"time", "value"
1765.00000000,104.44444444
1766.00000000,104.44443495
1767.00000000,104.44445082
1768.00000000,104.44454190
1769.00000000,104.44474254
1770.00000000,104.44507553
1771.00000000,104.44555320
1772.00000000,104.44617703
1773.00000000,104.44695194
1774.00000000,104.44788272
1775.00000000,104.44897044
1776.00000000,104.45021407
1777.00000000,104.45161105
1778.00000000,104.45315775
1779.00000000,104.45484986
1780.00000000,104.45668260
1781.00000000,104.45864868
1782.00000000,104.46073587
1783.00000000,104.46293988
1784.00000000,104.46525905
1785.00000000,104.46769021
1786.00000000,104.47022948
1787.00000000,104.47287341
1788.00000000,104.47561797
1789.00000000,104.47845844
1790.00000000,104.48139136
1791.00000000,104.48440935
1792.00000000,104.48750139
1793.00000000,104.49066463
1794.00000000,104.49389814
1795.00000000,104.49720025
1796.00000000,104.50056851
1797.00000000,104.50399829
1798.00000000,104.50747983
1799.00000000,104.51101104
1800.00000000,104.51459015
1801.00000000,104.51820948
1802.00000000,104.52186397
1803.00000000,104.52554273
1804.00000000,104.52925641
1805.00000000,104.53300864
1806.00000000,104.53679745
1807.00000000,104.54061440
1808.00000000,104.54445986
1809.00000000,104.54833500
1810.00000000,104.55223986
1811.00000000,104.55617141
1812.00000000,104.56012278
1813.00000000,104.56409282
1814.00000000,104.56808284
1815.00000000,104.57209077
1816.00000000,104.57610702
1817.00000000,104.58012304
1818.00000000,104.58413531
1819.00000000,104.58814876
1820.00000000,104.59216835
1821.00000000,104.59619779
1822.00000000,104.60023618
1823.00000000,104.60427460
1824.00000000,104.60830761
1825.00000000,104.61233648
1826.00000000,104.61635881
1827.00000000,104.62037584
1828.00000000,104.62438520
1829.00000000,104.62839068
1830.00000000,104.63238283
1831.00000000,104.63632273
1832.00000000,104.64022920
1833.00000000,104.64411771
1834.00000000,104.64799069
1835.00000000,104.65185364
1836.00000000,104.65569718
1837.00000000,104.65949817
1838.00000000,104.66326637
1839.00000000,104.66700791
1840.00000000,104.67072274
1841.00000000,104.67440620
1842.00000000,104.67805854
1843.00000000,104.68167711
1844.00000000,104.68526377
1845.00000000,104.68880976
1846.00000000,104.69230128
1847.00000000,104.69575149
1848.00000000,104.69915753
1849.00000000,104.70252418
1850.00000000,104.70584037
1851.00000000,104.70907370
1852.00000000,104.71225298
1853.00000000,104.71567278
1854.00000000,104.71924459
1855.00000000,104.72277414
1856.00000000,104.72618124
1857.00000000,104.72946146
1858.00000000,104.73265210
1859.00000000,104.73577614
1860.00000000,104.73880985
1861.00000000,104.74172283
1862.00000000,104.74443821
1863.00000000,104.74658432
1864.00000000,104.74814852
1865.00000000,104.74920209
1866.00000000,104.74981924
1867.00000000,104.75007703
1868.00000000,104.74999271
1869.00000000,104.74959299
1870.00000000,104.74889675
1871.00000000,104.74796345
1872.00000000,104.74704213
1873.00000000,104.74657752
1874.00000000,104.74657194
1875.00000000,104.74701674
1876.00000000,104.74775916
1877.00000000,104.74873492
1878.00000000,104.74991860
1879.00000000,104.75127390
1880.00000000,104.75264595
