"time", "pool", "value"
1765.00000000,0.00000000,141.44444444
1765.00000000,1.00000000,191.44444444
1765.00000000,2.00000000,104.44444444
1765.00000000,-1.00000000,165.48699764
1766.00000000,0.00000000,141.44407611
1766.00000000,1.00000000,191.44443875
1766.00000000,2.00000000,104.44443489
1766.00000000,-1.00000000,165.48689240
1767.00000000,0.00000000,141.44410031
1767.00000000,1.00000000,191.44442385
1767.00000000,2.00000000,104.44445032
1767.00000000,-1.00000000,165.48678810
1768.00000000,0.00000000,141.44441656
1768.00000000,1.00000000,191.44440277
1768.00000000,2.00000000,104.44454006
1768.00000000,-1.00000000,165.48668457
1769.00000000,0.00000000,141.44494973
1769.00000000,1.00000000,191.44437680
1769.00000000,2.00000000,104.44473764
1769.00000000,-1.00000000,165.48658125
1770.00000000,0.00000000,141.44564384
1770.00000000,1.00000000,191.44434622
1770.00000000,2.00000000,104.44506492
1770.00000000,-1.00000000,165.48647726
1771.00000000,0.00000000,141.44636476
1771.00000000,1.00000000,191.44430981
1771.00000000,2.00000000,104.44553308
1771.00000000,-1.00000000,165.48635417
1772.00000000,0.00000000,141.44710462
1772.00000000,1.00000000,191.44426385
1772.00000000,2.00000000,104.44614223
1772.00000000,-1.00000000,165.48621072
1773.00000000,0.00000000,141.44794218
1773.00000000,1.00000000,191.44420689
1773.00000000,2.00000000,104.44689666
1773.00000000,-1.00000000,165.48606376
1774.00000000,0.00000000,141.44885188
1774.00000000,1.00000000,191.44413809
1774.00000000,2.00000000,104.44779978
1774.00000000,-1.00000000,165.48591199
1775.00000000,0.00000000,141.44981660
1775.00000000,1.00000000,191.44405619
1775.00000000,2.00000000,104.44885148
1775.00000000,-1.00000000,165.48575418
1776.00000000,0.00000000,141.45082376
1776.00000000,1.00000000,191.44395984
1776.00000000,2.00000000,104.45004950
1776.00000000,-1.00000000,165.48558906
1777.00000000,0.00000000,141.45186540
1777.00000000,1.00000000,191.44384755
1777.00000000,2.00000000,104.45139041
1777.00000000,-1.00000000,165.48541546
1778.00000000,0.00000000,141.45293296
1778.00000000,1.00000000,191.44371800
1778.00000000,2.00000000,104.45286946
1778.00000000,-1.00000000,165.48523213
1779.00000000,0.00000000,141.45402149
1779.00000000,1.00000000,191.44356994
1779.00000000,2.00000000,104.45448208
1779.00000000,-1.00000000,165.48503805
1780.00000000,0.00000000,141.45512575
1780.00000000,1.00000000,191.44340171
1780.00000000,2.00000000,104.45622150
1780.00000000,-1.00000000,165.48483177
1781.00000000,0.00000000,141.45615019
1781.00000000,1.00000000,191.44321166
1781.00000000,2.00000000,104.45808122
1781.00000000,-1.00000000,165.48459505
1782.00000000,0.00000000,141.45711580
1782.00000000,1.00000000,191.44299577
1782.00000000,2.00000000,104.46004752
1782.00000000,-1.00000000,165.48432712
1783.00000000,0.00000000,141.45811607
1783.00000000,1.00000000,191.44275286
1783.00000000,2.00000000,104.46211580
1783.00000000,-1.00000000,165.48404423
1784.00000000,0.00000000,141.45914281
1784.00000000,1.00000000,191.44248245
1784.00000000,2.00000000,104.46428339
1784.00000000,-1.00000000,165.48374574
1785.00000000,0.00000000,141.46018968
1785.00000000,1.00000000,191.44218395
1785.00000000,2.00000000,104.46654679
1785.00000000,-1.00000000,165.48343079
1786.00000000,0.00000000,141.46125097
1786.00000000,1.00000000,191.44185684
1786.00000000,2.00000000,104.46890203
1786.00000000,-1.00000000,165.48309852
1787.00000000,0.00000000,141.46232379
1787.00000000,1.00000000,191.44150048
1787.00000000,2.00000000,104.47134517
1787.00000000,-1.00000000,165.48274819
1788.00000000,0.00000000,141.46340420
1788.00000000,1.00000000,191.44111430
1788.00000000,2.00000000,104.47387142
1788.00000000,-1.00000000,165.48237893
1789.00000000,0.00000000,141.46448991
1789.00000000,1.00000000,191.44069769
1789.00000000,2.00000000,104.47647624
1789.00000000,-1.00000000,165.48198999
1790.00000000,0.00000000,141.46557842
1790.00000000,1.00000000,191.44025014
1790.00000000,2.00000000,104.47915515
1790.00000000,-1.00000000,165.48158061
1791.00000000,0.00000000,141.46657475
1791.00000000,1.00000000,191.43977057
1791.00000000,2.00000000,104.48190133
1791.00000000,-1.00000000,165.48113276
1792.00000000,0.00000000,141.46750102
1792.00000000,1.00000000,191.43925586
1792.00000000,2.00000000,104.48470361
1792.00000000,-1.00000000,165.48064610
1793.00000000,0.00000000,141.46845136
1793.00000000,1.00000000,191.43870549
1793.00000000,2.00000000,104.48755900
1793.00000000,-1.00000000,165.48013717
1794.00000000,0.00000000,141.46941860
1794.00000000,1.00000000,191.43811969
1794.00000000,2.00000000,104.49046651
1794.00000000,-1.00000000,165.47960580
1795.00000000,0.00000000,141.47039716
1795.00000000,1.00000000,191.43749850
1795.00000000,2.00000000,104.49342447
1795.00000000,-1.00000000,165.47905150
1796.00000000,0.00000000,141.47138250
1796.00000000,1.00000000,191.43684193
1796.00000000,2.00000000,104.49643082
1796.00000000,-1.00000000,165.47847378
1797.00000000,0.00000000,141.47227661
1797.00000000,1.00000000,191.43614935
1797.00000000,2.00000000,104.49948048
1797.00000000,-1.00000000,165.47785459
1798.00000000,0.00000000,141.47310181
1798.00000000,1.00000000,191.43541805
1798.00000000,2.00000000,104.50256379
1798.00000000,-1.00000000,165.47719403
1799.00000000,0.00000000,141.47394735
1799.00000000,1.00000000,191.43464792
1799.00000000,2.00000000,104.50567908
1799.00000000,-1.00000000,165.47650810
1800.00000000,0.00000000,141.47471848
1800.00000000,1.00000000,191.43383863
1800.00000000,2.00000000,104.50882404
1800.00000000,-1.00000000,165.47578017
1801.00000000,0.00000000,141.47542999
1801.00000000,1.00000000,191.43298815
1801.00000000,2.00000000,104.51199149
1801.00000000,-1.00000000,165.47501011
1802.00000000,0.00000000,141.47598912
1802.00000000,1.00000000,191.43209535
1802.00000000,2.00000000,104.51517682
1802.00000000,-1.00000000,165.47418035
1803.00000000,0.00000000,141.47652122
1803.00000000,1.00000000,191.43115643
1803.00000000,2.00000000,104.51836955
1803.00000000,-1.00000000,165.47330800
1804.00000000,0.00000000,141.47719088
1804.00000000,1.00000000,191.43017464
1804.00000000,2.00000000,104.52157983
1804.00000000,-1.00000000,165.47242792
1805.00000000,0.00000000,141.47787909
1805.00000000,1.00000000,191.42915162
1805.00000000,2.00000000,104.52481176
1805.00000000,-1.00000000,165.47152217
1806.00000000,0.00000000,141.47849017
1806.00000000,1.00000000,191.42808724
1806.00000000,2.00000000,104.52806294
1806.00000000,-1.00000000,165.47057357
1807.00000000,0.00000000,141.47903873
1807.00000000,1.00000000,191.42697966
1807.00000000,2.00000000,104.53132628
1807.00000000,-1.00000000,165.46958182
1808.00000000,0.00000000,141.47961805
