"time", "value"
1765.00000000,       nan
1766.00000000,79.94374150
1767.00000000,79.94017245
1768.00000000,79.93657410
1769.00000000,79.93299879
1770.00000000,79.92941105
1771.00000000,79.92582100
1772.00000000,79.92222519
1773.00000000,79.91864052
1774.00000000,79.91502236
1775.00000000,79.91141048
1776.00000000,79.90777192
1777.00000000,79.90412277
1778.00000000,79.90046127
1779.00000000,79.89678575
1780.00000000,79.89311298
1781.00000000,79.88942902
1782.00000000,79.88574243
1783.00000000,79.88204804
1784.00000000,79.87837534
1785.00000000,79.87469910
1786.00000000,79.87108612
1787.00000000,79.86748619
1788.00000000,79.86393102
1789.00000000,79.86041378
1790.00000000,79.85694593
1791.00000000,79.85353000
1792.00000000,79.85018278
1793.00000000,79.84683991
1794.00000000,79.84356472
1795.00000000,79.84028189
1796.00000000,79.83701652
1797.00000000,79.83373049
1798.00000000,79.83045005
1799.00000000,79.82713614
1800.00000000,79.82382377
1801.00000000,79.82047545
1802.00000000,79.81711234
1803.00000000,79.81371725
1804.00000000,79.81031137
1805.00000000,79.80688841
1806.00000000,79.80347893
1807.00000000,79.80004543
1808.00000000,79.79664186
1809.00000000,79.79323451
1810.00000000,79.78983732
1811.00000000,79.78645572
1812.00000000,79.78311730
1813.00000000,79.77979361
1814.00000000,79.77649156
1815.00000000,79.77322935
1816.00000000,79.76999410
1817.00000000,79.76679969
1818.00000000,79.76360417
1819.00000000,79.76045278
1820.00000000,79.75731215
1821.00000000,79.75418959
1822.00000000,79.75107814
1823.00000000,79.74799396
1824.00000000,79.74488526
1825.00000000,79.74179722
1826.00000000,79.73867851
1827.00000000,79.73553489
1828.00000000,79.73235681
1829.00000000,79.72913708
1830.00000000,79.72587635
1831.00000000,79.72257157
1832.00000000,79.71921825
1833.00000000,79.71581904
1834.00000000,79.71241800
1835.00000000,79.70897614
1836.00000000,79.70558537
1837.00000000,79.70220951
1838.00000000,79.69887163
1839.00000000,79.69557297
1840.00000000,79.69232416
1841.00000000,79.68912212
1842.00000000,79.68598556
1843.00000000,79.68284784
1844.00000000,79.67977990
1845.00000000,79.67674908
1846.00000000,79.67371977
1847.00000000,79.67073540
1848.00000000,79.66776182
1849.00000000,79.66479748
1850.00000000,79.66184957
1851.00000000,79.65892713
1852.00000000,79.65599564
1853.00000000,79.65301902
1854.00000000,79.64995800
1855.00000000,79.64687062
1856.00000000,79.64375044
1857.00000000,79.64057473
1858.00000000,79.63741280
1859.00000000,79.63422325
1860.00000000,79.63102047
1861.00000000,79.62778595
1862.00000000,79.62454628
1863.00000000,79.62132668
1864.00000000,79.61821929
1865.00000000,79.61517742
1866.00000000,79.61225116
1867.00000000,79.60943418
1868.00000000,79.60670474
1869.00000000,79.60411833
1870.00000000,79.60164514
1871.00000000,79.59931648
1872.00000000,79.59710866
1873.00000000,79.59491438
1874.00000000,79.59263456
1875.00000000,79.59028542
1876.00000000,79.58778574
1877.00000000,79.58513904
1878.00000000,79.58232519
1879.00000000,79.57927486
1880.00000000,79.57599922
1881.00000000,79.57247637
1882.00000000,79.56869218
1883.00000000,79.56470740
1884.00000000,79.56054488
1885.00000000,79.55620303
1886.00000000,79.55169221
1887.00000000,79.54703760
1888.00000000,79.54219506
1889.00000000,79.53723933
1890.00000000,79.53214241
1891.00000000,79.52699822
1892.00000000,79.52181677
1893.00000000,79.51658068
1894.00000000,79.51144766
1895.00000000,79.50635566
1896.00000000,79.50134648
1897.00000000,79.49643743
1898.00000000,79.49168075
1899.00000000,79.48703493
1900.00000000,79.48254894
1901.00000000,79.47824583
1902.00000000,79.47409432
1903.00000000,79.47007820
1904.00000000,79.46616611
1905.00000000,79.46231967
1906.00000000,79.45848494
1907.00000000,79.45453639
1908.00000000,79.45053780
1909.00000000,79.44636985
1910.00000000,79.44204137
1911.00000000,79.43749655
1912.00000000,79.43279186
1913.00000000,79.42794555
1914.00000000,79.42301598
1915.00000000,79.41804597
1916.00000000,79.41304720
1917.00000000,79.40804433
1918.00000000,79.40304364
1919.00000000,79.39810199
1920.00000000,79.39322999
1921.00000000,79.38843288
1922.00000000,79.38372571
1923.00000000,79.37909230
1924.00000000,79.37456549
1925.00000000,79.37019716
1926.00000000,79.36591158
1927.00000000,79.36177647
1928.00000000,79.35776518
1929.00000000,79.35384741
1930.00000000,79.35003697
1931.00000000,79.34622864
1932.00000000,79.34239063
1933.00000000,79.33865991
1934.00000000,79.33507710
1935.00000000,79.33161551
1936.00000000,79.32839366
1937.00000000,79.32530900
1938.00000000,79.32248622
1939.00000000,79.31989925
1940.00000000,79.31753218
1941.00000000,79.31552943
1942.00000000,79.31386458
1943.00000000,79.31252578
1944.00000000,79.31163272
1945.00000000,79.31119323
1946.00000000,79.31123368
1947.00000000,79.31175895
1948.00000000,79.31269246
1949.00000000,79.31415021
1950.00000000,79.31616088
1951.00000000,79.31873303
1952.00000000,79.32170633
1953.00000000,79.32501678
1954.00000000,79.32865572
1955.00000000,79.33264650
1956.00000000,79.33687549
1957.00000000,79.34127911
1958.00000000,79.34580073
1959.00000000,79.35034721
1960.00000000,79.35506737
1961.00000000,79.35999179
1962.00000000,79.36503407
1963.00000000,79.37023554
1964.00000000,79.37555267
1965.00000000,79.38091975
1966.00000000,79.38635457
1967.00000000,79.39176038
1968.00000000,79.39705725
1969.00000000,79.40232923
1970.00000000,79.40751883
1971.00000000,79.41266784
1972.00000000,79.41793624
1973.00000000,79.42341025
1974.00000000,79.42906932
1975.00000000,79.43500319
1976.00000000,79.44115476
1977.00000000,79.44753413
1978.00000000,79.45408874
1979.00000000,79.46083138
1980.00000000,79.46786621
1981.00000000,79.47528616
1982.00000000,79.48305761
1983.00000000,79.49108927
1984.00000000,79.49927737
1985.00000000,79.50755029
1986.00000000,79.51594291
1987.00000000,79.52438912
1988.00000000,79.53288724
1989.00000000,79.54141113
1990.00000000,79.54990627
1991.00000000,79.55836869
1992.00000000,79.56670175
1993.00000000,79.57495450
1994.00000000,79.58314828
1995.00000000,79.59124006
1996.00000000,79.59924520
1997.00000000,79.60719518
1998.00000000,79.61506566
1999.00000000,79.62292666
2000.00000000,79.63078104
2001.00000000,79.63865193
2002.00000000,79.64660494
2003.00000000,79.65448574
2004.00000000,79.66220807
2005.00000000,79.66978025
2006.00000000,79.67718809
2007.00000000,79.68442971
2008.00000000,79.69155590
2009.00000000,79.69857565
2010.00000000,79.70549392
2011.00000000,79.71234594
2012.00000000,79.71914055
2013.00000000,79.72588659
2014.00000000,79.73257488
2015.00000000,79.73917249
2016.00000000,79.74574228
2017.00000000,79.75225218
2018.00000000,79.75866912
2019.00000000,79.76505114
2020.00000000,79.77136666
2021.00000000,79.77758566
2022.00000000,79.78376145
2023.00000000,79.78986000
2024.00000000,79.79591343
2025.00000000,79.80189741
2026.00000000,79.80782008
2027.00000000,79.81370996
2028.00000000,79.81955913
2029.00000000,79.82534493
2030.00000000,79.83113847
2031.00000000,79.83692069
2032.00000000,79.84266475
2033.00000000,79.84841837
2034.00000000,79.85415756
2035.00000000,79.85986321
2036.00000000,79.86555708
2037.00000000,79.87119329
2038.00000000,79.87682862
2039.00000000,79.88243144
2040.00000000,79.88797152
2041.00000000,79.89350053
2042.00000000,79.89899103
2043.00000000,79.90442440
2044.00000000,79.90982025
2045.00000000,79.91516592
2046.00000000,79.92046111
2047.00000000,79.92571624
2048.00000000,79.93088830
2049.00000000,79.93603257
2050.00000000,79.94111303
2051.00000000,79.94611977
2052.00000000,79.95107178
2053.00000000,79.95593980
2054.00000000,79.96073302
2055.00000000,79.96546599
2056.00000000,79.97012084
2057.00000000,79.97466648
2058.00000000,79.97915652
2059.00000000,79.98356002
2060.00000000,79.98785893
2061.00000000,79.99207756
2062.00000000,79.99617185
2063.00000000,80.00019823
2064.00000000,80.00412764
2065.00000000,80.00794537
2066.00000000,80.01166517
2067.00000000,80.01528697
2068.00000000,80.01879717
2069.00000000,80.02221684
2070.00000000,80.02553047
2071.00000000,80.02870502
2072.00000000,80.03180165
2073.00000000,80.03477737
2074.00000000,80.03765647
2075.00000000,80.04042739
2076.00000000,80.04306042
2077.00000000,80.04561457
2078.00000000,80.04806077
2079.00000000,80.05038512
2080.00000000,80.05261471
2081.00000000,80.05473615
2082.00000000,80.05672114
2083.00000000,80.05862863
2084.00000000,80.06041771
2085.00000000,80.06211830
2086.00000000,80.06371786
2087.00000000,80.06518824
2088.00000000,80.06659143
2089.00000000,80.06790035
2090.00000000,80.06910187
2091.00000000,80.07022813
2092.00000000,80.07126843
2093.00000000,80.07219481
2094.00000000,80.07307111
2095.00000000,80.07387291
2096.00000000,80.07458926
2097.00000000,80.07525519
2098.00000000,80.07584880
2099.00000000,80.07640680
2100.00000000,80.07692510
2101.00000000,80.07738235
2102.00000000,80.07784217
2103.00000000,80.07827488
2104.00000000,80.07866574
2105.00000000,80.07904476
2106.00000000,80.07939815
2107.00000000,80.07969675
2108.00000000,80.08000630
2109.00000000,80.08025926
2110.00000000,80.08051318
2111.00000000,80.08074308
2112.00000000,80.08093547
2113.00000000,80.08112028
2114.00000000,80.08128404
2115.00000000,80.08140207
2116.00000000,80.08153541
2117.00000000,80.08164033
2118.00000000,80.08169590
2119.00000000,80.08176687
2120.00000000,80.08182365
2121.00000000,80.08184859
2122.00000000,80.08187823
2123.00000000,80.08188333
2124.00000000,80.08189610
2125.00000000,80.08190529
2126.00000000,80.08189049
2127.00000000,80.08190747
2128.00000000,80.08191596
2129.00000000,80.08189305
2130.00000000,80.08190743
2131.00000000,80.08192548
2132.00000000,80.08190220
2133.00000000,80.08191052
2134.00000000,80.08190416
2135.00000000,80.08191182
2136.00000000,80.08191814
2137.00000000,80.08191261
2138.00000000,80.08191910
2139.00000000,80.08192752
2140.00000000,80.08192011
2141.00000000,80.08192781
2142.00000000,80.08193619
2143.00000000,80.08192824
2144.00000000,80.08193654
2145.00000000,80.08192901
2146.00000000,80.08193636
2147.00000000,80.08194322
2148.00000000,80.08193643
2149.00000000,80.08194282
2150.00000000,80.08195039
2151.00000000,80.08194236
2152.00000000,80.08195050
2153.00000000,80.08195631
2154.00000000,80.08194962
2155.00000000,80.08195610
2156.00000000,80.08196347
2157.00000000,80.08195502
2158.00000000,80.08196299
2159.00000000,80.08195473
2160.00000000,80.08196100
2161.00000000,80.08197122
2162.00000000,80.08195898
2163.00000000,80.08196582
2164.00000000,80.08198905
2165.00000000,80.08196516
2166.00000000,80.08198606
2167.00000000,80.08199397
2168.00000000,80.08198457
2169.00000000,80.08199104
2170.00000000,80.08198223
2171.00000000,80.08198784
2172.00000000,80.08199443
2173.00000000,80.08198525
2174.00000000,80.08199145
2175.00000000,80.08201392
2176.00000000,80.08198855
2177.00000000,80.08201058
2178.00000000,80.08201623
2179.00000000,80.08200619
2180.00000000,80.08201288
2181.00000000,80.08203429
2182.00000000,80.08200770
2183.00000000,80.08203062
2184.00000000,80.08200474
2185.00000000,80.08202531
2186.00000000,80.08203131
2187.00000000,80.08202120
2188.00000000,80.08202572
2189.00000000,80.08204860
2190.00000000,80.08202838
2191.00000000,80.08204236
2192.00000000,80.08205081
2193.00000000,80.08203791
2194.00000000,80.08205772
2195.00000000,80.08203139
2196.00000000,80.08205245
2197.00000000,80.08205689
2198.00000000,80.08204598
2199.00000000,80.08206602
2200.00000000,80.08207218
2201.00000000,80.08206044
2202.00000000,80.08206556
2203.00000000,80.08208495
2204.00000000,80.08207266
2205.00000000,80.08207834
2206.00000000,80.08209827
2207.00000000,80.08208599
2208.00000000,80.08208987
2209.00000000,80.08207763
2210.00000000,80.08209767
2211.00000000,80.08210246
2212.00000000,80.08208974
2213.00000000,80.08210905
2214.00000000,80.08211267
2215.00000000,80.08209950
2216.00000000,80.08211873
2217.00000000,80.08212300
2218.00000000,80.08210856
2219.00000000,80.08212915
2220.00000000,80.08211583
2221.00000000,80.08211940
2222.00000000,80.08213837
2223.00000000,80.08212440
2224.00000000,80.08214293
2225.00000000,80.08214573
2226.00000000,80.08213183
2227.00000000,80.08215056
2228.00000000,80.08216951
2229.00000000,80.08214871
2230.00000000,80.08215652
2231.00000000,80.08214285
2232.00000000,80.08216043
2233.00000000,80.08217858
2234.00000000,80.08216312
2235.00000000,80.08217224
2236.00000000,80.08218332
2237.00000000,80.08216627
2238.00000000,80.08218365
2239.00000000,80.08220227
2240.00000000,80.08218578
2241.00000000,80.08220316
2242.00000000,80.08222181
2243.00000000,80.08220445
2244.00000000,80.08222198
2245.00000000,80.08219471
2246.00000000,80.08220770
2247.00000000,80.08222354
2248.00000000,80.08220493
2249.00000000,80.08222173
2250.00000000,80.08223769
2251.00000000,80.08221940
2252.00000000,80.08223606
2253.00000000,80.08225424
2254.00000000,80.08223426
2255.00000000,80.08225405
2256.00000000,80.08223785
2257.00000000,80.08226201
2258.00000000,80.08227812
2259.00000000,80.08225943
2260.00000000,80.08227382
2261.00000000,80.08228946
2262.00000000,80.08227008
2263.00000000,80.08228441
2264.00000000,80.08230029
2265.00000000,80.08228379
2266.00000000,80.08230981
2267.00000000,80.08232459
2268.00000000,80.08230256
2269.00000000,80.08231727
2270.00000000,80.08229822
2271.00000000,80.08232544
2272.00000000,80.08233902
2273.00000000,80.08231627
2274.00000000,80.08233670
2275.00000000,80.08235952
2276.00000000,80.08233711
2277.00000000,80.08235138
2278.00000000,80.08237918
2279.00000000,80.08235546
2280.00000000,80.08237174
2281.00000000,80.08235895
2282.00000000,80.08237205
2283.00000000,80.08240002
2284.00000000,80.08237444
2285.00000000,80.08239022
2286.00000000,80.08241466
2287.00000000,80.08238779
2288.00000000,80.08241502
2289.00000000,80.08243018
2290.00000000,80.08241534
2291.00000000,80.08243067
2292.00000000,80.08241570
2293.00000000,80.08243532
2294.00000000,80.08245241
2295.00000000,80.08243991
2296.00000000,80.08245033
2297.00000000,80.08247564
2298.00000000,80.08246203
2299.00000000,80.08247254
2300.00000000,80.08249650
2301.00000000,80.08248174
2302.00000000,80.08250557
2303.00000000,80.08251804
2304.00000000,80.08249926
2305.00000000,80.08252388
2306.00000000,80.08250811
2307.00000000,80.08252994
2308.00000000,80.08254684
2309.00000000,80.08252196
2310.00000000,80.08254211
2311.00000000,80.08256630
2312.00000000,80.08254839
2313.00000000,80.08256962
2314.00000000,80.08259249
2315.00000000,80.08257197
2316.00000000,80.08259374
2317.00000000,80.08257338
2318.00000000,80.08259824
2319.00000000,80.08263007
2320.00000000,80.08260825
2321.00000000,80.08262835
2322.00000000,80.08264778
2323.00000000,80.08262471
2324.00000000,80.08265952
2325.00000000,80.08267905
2326.00000000,80.08265319
2327.00000000,80.08268706
2328.00000000,80.08270611
2329.00000000,80.08268847
2330.00000000,80.08271164
2331.00000000,80.08268778
2332.00000000,80.08271627
2333.00000000,80.08274902
2334.00000000,80.08272010
2335.00000000,80.08275102
2336.00000000,80.08278284
2337.00000000,80.08275064
2338.00000000,80.08278137
2339.00000000,80.08281176
2340.00000000,80.08278719
2341.00000000,80.08281512
2342.00000000,80.08278876
2343.00000000,80.08281635
2344.00000000,80.08284578
2345.00000000,80.08282382
2346.00000000,80.08285224
2347.00000000,80.08288866
2348.00000000,80.08286236
2349.00000000,80.08289509
2350.00000000,80.08292136
2351.00000000,80.08289472
2352.00000000,80.08293566
2353.00000000,80.08296014
2354.00000000,80.08293733
2355.00000000,80.08297009
2356.00000000,80.08294486
2357.00000000,80.08297725
2358.00000000,80.08301501
2359.00000000,80.08298532
2360.00000000,80.08301775
2361.00000000,80.08305336
2362.00000000,80.08303347
2363.00000000,80.08306751
2364.00000000,80.08310116
2365.00000000,80.08307718
2366.00000000,80.08310912
2367.00000000,80.08308401
2368.00000000,80.08313065
2369.00000000,80.08316125
2370.00000000,80.08313214
2371.00000000,80.08317559
2372.00000000,80.08321045
2373.00000000,80.08318742
2374.00000000,80.08322940
2375.00000000,80.08327172
2376.00000000,80.08323704
2377.00000000,80.08327648
2378.00000000,80.08325183
2379.00000000,80.08329584
2380.00000000,80.08334017
2381.00000000,80.08331101
2382.00000000,80.08335276
2383.00000000,80.08339559
2384.00000000,80.08337722
2385.00000000,80.08341124
2386.00000000,80.08345755
2387.00000000,80.08343147
2388.00000000,80.08347651
2389.00000000,80.08352281
2390.00000000,80.08350097
2391.00000000,       nan
2392.00000000,       nan
2393.00000000,       nan
2394.00000000,       nan
2395.00000000,       nan
2396.00000000,       nan
2397.00000000,       nan
2398.00000000,       nan
2399.00000000,       nan
2400.00000000,       nan
2401.00000000,       nan
2402.00000000,       nan
2403.00000000,       nan
2404.00000000,       nan
2405.00000000,       nan
2406.00000000,       nan
2407.00000000,       nan
2408.00000000,       nan
2409.00000000,       nan
2410.00000000,       nan
2411.00000000,       nan
2412.00000000,       nan
2413.00000000,       nan
2414.00000000,       nan
2415.00000000,       nan
2416.00000000,       nan
2417.00000000,       nan
2418.00000000,       nan
2419.00000000,       nan
2420.00000000,       nan
2421.00000000,       nan
2422.00000000,       nan
2423.00000000,       nan
2424.00000000,       nan
2425.00000000,       nan
2426.00000000,       nan
2427.00000000,       nan
2428.00000000,       nan
2429.00000000,       nan
2430.00000000,       nan
2431.00000000,       nan
2432.00000000,       nan
2433.00000000,       nan
2434.00000000,       nan
2435.00000000,       nan
2436.00000000,       nan
2437.00000000,       nan
2438.00000000,       nan
2439.00000000,       nan
2440.00000000,       nan
2441.00000000,       nan
2442.00000000,       nan
2443.00000000,       nan
2444.00000000,       nan
2445.00000000,       nan
2446.00000000,       nan
2447.00000000,       nan
2448.00000000,       nan
2449.00000000,       nan
2450.00000000,       nan
2451.00000000,       nan
2452.00000000,       nan
2453.00000000,       nan
2454.00000000,       nan
2455.00000000,       nan
2456.00000000,       nan
2457.00000000,       nan
